Columns: lon lat depth mrr mtt mpp mrt mrp mtp iexp name lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name

94.29 8.07 12 -2.31 -1.65 3.96 3.26 -3.96 1.11 23 X Y 122704H 8.07 223 32 -23 333 78 -120 6.249 23 122704H
93.41 6.20 26 -3.43 -0.75 4.18 0.82 2.01 -6.70 23 X Y 122704J 6.20 284 64 -161 185 73 -27 7.749 23 122704J
93.19 5.94 15 -1.29 -2.82 4.11 -1.31 -4.68 -4.08 23 X Y 122704K 5.94 112 47 -171 16 84 -44 7.285 23 122704K
92.01 8.04 18 0.20 -5.22 5.01 -3.29 -2.90 -4.34 23 X Y 122704L 8.04 118 61 -173 24 84 -30 7.886 23 122704L
93.45 7.60 60 2.09 -0.69 -1.41 -0.20 -2.16 2.88 23 X Y 122704M 7.60 283 45 31 171 69 131 4.018 23 122704M
95.42 2.95 13 -0.50 0.06 0.44 2.61 -1.94 -0.42 24 X Y 122704N 2.95 174 7 -43 307 85 -95 3.311 24 122704N
94.42 2.48 12 1.83 -1.11 -0.71 0.54 -0.64 0.96 24 X Y 122704O 2.48 305 33 82 134 57 95 2.039 24 122704O
94.48 5.20 55 0.74 -0.38 -0.36 0.31 -0.31 0.48 24 X Y 122704P 5.20 314 31 89 135 59 91 0.911 24 122704P
93.13 6.26 12 1.59 -0.65 -0.94 1.33 0.10 2.23 24 X Y 122704Q 6.26 352 49 148 104 66 46 2.904 24 122704Q
94.48 5.21 41 0.86 -0.41 -0.45 0.72 -0.64 0.48 25 X Y 122704R 5.21 320 21 97 133 69 87 1.307 25 122704R
92.74 7.65 12 2.74 -2.26 -0.48 0.67 0.06 2.93 24 X Y 122704S 7.65 326 44 119 109 52 65 3.701 24 122704S
95.00 4.47 53 4.02 -2.30 -1.72 1.67 -1.58 2.04 24 X Y 122704T 4.47 310 30 88 132 60 91 4.653 24 122704T
92.35 7.88 16 -3.14 -0.67 3.81 -1.26 -3.59 -0.37 23 X Y 122704W 7.88 155 25 -126 14 70 -74 5.192 23 122704W
93.90 8.63 12 -2.82 -1.48 4.30 5.26 -3.03 1.21 23 X Y 122704Y 8.63 215 34 -23 325 77 -122 6.873 23 122704Y
94.19 4.65 27 -2.73 2.07 0.66 -0.32 -2.17 -1.24 23 X Y 122704b 4.65 99 41 -132 329 61 -60 3.426 23 122704b
93.21 5.65 13 -5.40 -0.55 5.96 1.95 -3.23 -1.79 23 X Y 122704c 5.65 178 30 -71 335 62 -101 7.030 23 122704c
94.42 2.61 12 0.71 -0.28 -0.43 0.28 -0.57 0.38 24 X Y 122704d 2.61 311 25 74 149 66 98 0.963 24 122704d
94.21 8.81 25 -0.44 -2.72 3.16 -1.24 -1.74 2.18 23 X Y 122704e 8.81 151 65 174 243 84 26 4.146 23 122704e
93.32 3.68 12 -0.88 0.13 0.74 -1.51 -0.32 -0.28 24 X Y 122704f 3.68 315 14 -43 87 81 -100 1.626 24 122704f
92.41 8.95 18 0.37 -2.42 2.05 -0.09 -1.86 -2.00 23 X Y 122704h 8.95 111 61 169 206 80 30 3.531 23 122704h
92.14 7.51 12 -3.93 -1.57 5.50 -2.39 -1.35 -3.51 23 X Y 122704i 7.51 125 56 -141 10 59 -41 6.599 23 122704i
93.93 8.72 12 -0.74 -0.04 0.78 0.22 -0.67 -0.15 24 X Y 122704j 8.72 177 24 -79 344 66 -95 1.043 24 122704j
95.49 2.92 12 4.73 -1.60 -3.13 -0.83 -0.46 2.36 24 X Y 122704k 2.92 155 45 106 313 47 75 4.882 24 122704k
91.78 7.04 14 -0.68 -1.33 2.01 -1.30 -0.47 -4.07 24 X Y 122704l 7.04 10 74 -11 103 79 -164 4.644 24 122704l
93.80 8.93 12 -0.73 -0.02 0.76 0.11 -0.42 -0.08 24 X Y 122704m 8.93 178 30 -83 350 60 -94 0.866 24 122704m
92.84 5.45 12 2.37 2.78 -5.15 1.00 -0.88 4.57 23 X Y 122704n 5.45 20 76 176 111 86 14 6.186 23 122704n
93.87 2.93 17 2.14 -0.92 -1.22 0.73 1.28 0.84 23 X Y 122704o 2.93 122 41 53 347 58 117 2.416 23 122704o
93.12 9.72 29 -2.87 2.66 0.20 0.12 -0.99 0.49 23 X Y 122704p 9.72 275 47 -67 63 48 -113 2.963 23 122704p
91.89 8.19 12 -0.79 -0.00 0.80 0.57 -0.58 -0.25 24 X Y 122704q 8.19 182 27 -56 325 68 -106 1.162 24 122704q
93.13 8.89 42 5.50 -1.26 -4.24 -0.52 -1.50 1.04 23 X Y 122804A 8.89 336 38 78 171 53 100 5.260 23 122804A
94.32 7.61 22 -0.03 -1.98 2.01 -0.37 0.01 0.50 24 X Y 122804B 7.61 143 82 -174 52 84 -8 2.091 24 122804B
92.88 6.71 12 3.47 -3.53 0.06 0.32 -0.31 0.34 23 X Y 122804C 6.71 271 42 83 100 48 96 3.544 23 122804C
93.77 9.48 12 -1.49 0.06 1.43 0.19 -0.52 0.25 24 X Y 122804D 9.48 199 37 -74 0 55 -101 1.581 24 122804D
95.04 4.39 49 3.41 -2.08 -1.33 1.94 -2.07 2.08 24 X Y 122804G 4.39 304 26 81 135 64 94 4.596 24 122804G
93.77 4.14 16 -2.75 1.27 1.48 0.47 0.17 -0.56 23 X Y 122804H 4.14 147 43 -79 313 48 -100 2.381 23 122804H
93.01 6.73 23 1.07 -0.56 -0.51 0.04 1.11 1.32 23 X Y 122804I 6.73 101 43 33 345 68 128 1.951 23 122804I
96.18 5.05 18 -1.22 -3.13 4.35 -1.60 -0.91 1.16 23 X Y 122804J 5.05 146 62 -167 50 79 -29 4.415 23 122804J
95.06 4.49 46 -0.02 -0.36 0.39 1.18 -0.72 -3.87 23 X Y 122804K 4.49 184 74 8 92 82 163 4.113 23 122804K
93.68 3.24 12 2.59 -0.76 -1.83 -0.03 0.61 1.08 23 X Y 122804L 3.24 142 39 81 334 51 98 2.617 23 122804L
93.99 9.90 14 -0.07 -0.97 1.04 0.05 0.07 0.65 24 X Y 122804M 9.90 331 87 179 62 89 3 1.201 24 122804M
92.20 8.33 15 0.25 -2.04 1.80 -0.57 -1.39 1.10 23 X Y 122804N 8.33 146 66 162 243 74 25 2.637 23 122804N
93.76 9.44 12 -6.32 0.35 5.97 0.74 -1.91 1.03 23 X Y 122804O 9.44 199 38 -76 1 54 -101 6.560 23 122804O
94.33 3.54 12 0.38 -4.29 3.91 1.36 2.25 2.42 23 X Y 122804R 3.54 327 66 168 62 79 25 5.414 23 122804R
93.78 9.06 12 -1.10 -0.25 1.34 0.59 -0.61 0.05 24 X Y 122804S 9.06 205 37 -49 338 63 -116 1.500 24 122804S
94.60 3.41 22 -2.38 2.19 0.19 -0.91 -3.62 -1.33 23 X Y 122804T 3.41 99 36 -148 342 72 -59 4.216 23 122804T
92.86 6.60 12 4.72 -2.68 -2.04 1.21 -3.78 2.70 23 X Y 122804V 6.60 294 30 58 150 65 107 6.311 23 122804V
93.02 8.22 39 3.26 -0.02 -3.24 1.07 -6.66 1.78 24 X Y 122904B 8.22 318 16 60 170 76 98 7.683 24 122904B
93.97 9.12 12 -0.94 -0.20 1.14 0.48 -0.50 0.34 25 X Y 122904C 9.12 220 42 -46 347 61 -122 1.303 25 122904C
93.24 8.74 12 0.09 -0.73 0.64 -0.06 6.70 -1.02 24 X Y 122904D 8.74 278 9 -173 181 89 -81 6.783 24 122904D
93.90 9.55 12 -0.95 0.06 0.88 0.20 -0.72 0.24 24 X Y 122904E 9.55 210 30 -61 358 64 -105 1.205 24 122904E
92.99 9.29 46 3.46 -1.02 -2.45 1.30 -1.02 -1.62 23 X Y 122904G 9.29 53 48 120 192 50 61 3.817 23 122904G
94.82 5.01 18 0.95 0.76 -1.71 6.42 -6.88 -0.41 23 X Y 122904H 5.01 35 8 167 138 88 82 9.512 23 122904H
93.81 7.61 12 -3.13 2.51 0.61 0.89 -1.44 0.97 23 X Y 122904I 7.61 47 46 -122 269 52 -61 3.384 23 122904I
95.32 2.60 26 0.56 -0.35 -0.20 0.65 -0.99 0.36 24 X Y 122904J 2.60 291 15 57 145 77 98 1.331 24 122904J
93.80 3.19 13 5.08 -1.38 -3.70 -1.45 2.03 1.55 23 X Y 122904N 3.19 156 31 96 330 59 86 5.388 23 122904N
94.53 5.36 49 4.61 -1.61 -3.00 2.00 -1.88 2.02 23 X Y 122904O 5.36 330 30 99 139 61 85 5.292 23 122904O
94.13 5.33 43 1.16 -0.49 -0.68 0.64 -0.59 0.77 24 X Y 122904Q 5.33 323 28 98 135 62 86 1.530 24 122904Q
94.61 5.13 41 -0.74 1.30 -0.56 0.85 -1.83 -1.09 24 X Y 122904R 5.13 76 34 -162 331 80 -58 2.555 24 122904R
93.78 7.67 20 -2.05 1.78 0.27 0.04 0.04 0.33 23 X Y 122904S 7.67 79 44 -89 257 46 -91 1.951 23 122904S
92.14 7.84 12 -0.02 -4.12 4.14 -1.62 -4.20 -5.53 23 X Y 122904T 7.84 109 57 -179 18 89 -33 8.239 23 122904T
94.22 4.11 19 -6.23 3.70 2.53 4.33 -0.75 -3.13 23 X Y 123004A 4.11 144 31 -64 294 63 -105 7.643 23 123004A
94.27 4.24 25 -2.41 0.80 1.62 0.85 -0.08 -0.07 23 X Y 123004C 4.24 187 44 -70 340 49 -108 2.128 23 123004C
92.31 9.15 35 -2.47 0.31 2.16 1.06 1.09 -0.74 23 X Y 123004E 9.15 321 41 -125 184 58 -64 2.832 23 123004E
94.35 5.86 16 0.37 -0.61 0.23 2.39 -3.95 0.22 23 X Y 123004F 5.86 255 6 17 148 88 96 4.650 23 123004F
94.29 5.34 36 5.00 -1.84 -3.16 3.24 -2.78 2.69 23 X Y 123004G 5.34 330 26 104 135 65 83 6.680 23 123004G
92.60 9.18 41 -0.56 -0.21 0.77 -0.18 -1.06 -0.84 23 X Y 123004H 9.18 112 38 -158 4 76 -54 1.520 23 123004H
92.93 6.77 13 -0.58 0.09 0.48 0.57 -0.44 -0.33 24 X Y 123004L 6.77 169 24 -57 313 70 -104 0.957 24 123004L
94.24 2.51 12 2.08 -1.08 -1.00 0.38 -0.04 2.56 23 X Y 123004O 2.51 334 45 118 117 51 64 2.897 23 123004O
94.28 5.12 42 1.09 -0.34 -0.75 0.57 -0.55 0.68 24 X Y 123004P 5.12 330 28 101 138 62 84 1.414 24 123004P
94.30 5.24 44 2.33 -1.39 -0.94 0.87 0.14 1.26 23 X Y 123004Q 5.24 324 40 113 115 54 72 2.547 23 123004Q
92.43 7.10 12 1.41 -0.31 -1.10 -0.16 -0.21 0.73 25 X Y 123104A 7.10 319 44 75 160 48 104 1.498 25 123104A
95.31 4.20 15 0.02 -0.33 0.30 5.05 -3.83 0.35 23 X Y 123104C 4.20 245 2 28 127 89 92 6.346 23 123104C
93.46 5.32 12 1.49 -0.24 -1.25 1.41 1.20 0.05 23 X Y 123104D 5.32 172 23 49 36 73 106 2.230 23 123104D
94.00 7.62 12 -2.25 0.12 2.13 1.79 -0.34 1.06 24 X Y 123104E 7.62 358 47 -133 232 58 -53 2.980 24 123104E
94.57 4.85 49 5.86 -2.57 -3.30 2.57 -2.02 2.95 23 X Y 123104F 4.85 324 31 99 134 60 85 6.731 23 123104F
92.80 6.03 12 0.65 -0.01 -0.64 0.67 -0.17 0.63 25 X Y 123104H 6.03 359 39 143 119 68 57 1.131 25 123104H
95.17 3.12 12 1.18 -0.91 -0.27 -0.23 -0.04 0.45 24 X Y 123104J 3.12 124 41 100 291 50 81 1.184 24 123104J
94.66 4.79 50 0.92 -0.50 -0.42 0.52 -0.43 0.61 24 X Y 123104K 4.79 316 28 94 131 62 88 1.203 24 123104K
93.99 7.56 12 -2.69 0.26 2.43 -0.28 -0.67 0.82 23 X Y 123104L 7.56 197 37 -92 20 53 -89 2.794 23 123104L
95.09 4.68 24 1.02 -0.41 -0.61 6.44 -6.84 0.31 24 X Y 123104M 4.68 326 3 100 137 87 90 9.440 24 123104M
92.79 6.92 16 -2.95 0.07 2.88 -0.06 -1.28 -0.43 23 X Y 123104N 6.92 167 34 -97 356 57 -85 3.214 23 123104N
94.06 9.41 20 -0.17 -0.79 0.96 -0.10 -0.05 0.24 24 X Y 123104P 9.41 143 82 -177 53 87 -8 0.916 24 123104P
93.96 7.24 12 -1.31 2.32 -1.01 0.01 -2.57 1.78 23 X Y 200501010142A 7.24 282 48 -23 28 73 -136 3.681 23 200501010142A
92.46 7.08 14 -3.57 -2.52 6.09 3.29 0.04 -1.34 23 X Y 200501010143A 7.08 205 55 -37 318 60 -139 6.380 23 200501010143A
95.42 2.54 26 1.78 -1.08 -0.70 2.43 -2.94 1.41 24 X Y 200501010155A 2.54 298 15 68 140 76 96 4.334 24 200501010155A
94.29 5.36 35 2.41 -0.80 -1.61 2.19 -1.73 1.56 24 X Y 200501010403A 5.36 335 23 112 131 69 81 3.831 24 200501010403A
92.22 4.97 12 -0.05 -0.67 0.72 -0.29 -0.38 -0.85 26 X Y 200501010625A 4.97 111 68 -173 18 84 -22 1.199 26 200501010625A
94.51 4.75 49 0.64 0.01 -0.65 -0.06 -0.47 0.14 24 X Y 200501011015A 4.75 337 29 70 180 63 101 0.814 24 200501011015A
93.32 8.14 12 0.35 0.00 -0.35 0.58 -2.07 0.29 24 X Y 200501011429A 8.14 308 7 54 164 85 94 2.195 24 200501011429A
94.49 7.15 20 -0.11 -1.21 1.32 -0.49 0.18 1.03 25 X Y 200501011908A 7.15 63 77 -13 156 78 -167 1.715 25 200501011908A
92.56 7.12 12 3.66 -2.31 -1.36 -0.99 -4.52 2.14 23 X Y 200501012223A 7.12 290 33 38 167 70 117 5.792 23 200501012223A
92.61 7.02 12 1.62 -0.70 -0.92 0.23 -1.41 0.91 24 X Y 200501012228A 7.02 301 30 57 158 66 107 2.198 24 200501012228A
92.42 8.33 18 -0.04 -4.81 4.86 0.26 -3.49 -4.73 23 X Y 200501012240A 8.33 111 67 171 204 82 23 7.542 23 200501012240A
96.33 2.74 58 1.83 -1.42 -0.41 0.80 -1.04 1.93 23 X Y 200501012340A 2.74 289 33 62 141 61 107 2.735 23 200501012340A
95.32 3.18 12 5.19 -4.65 -0.55 -1.63 -0.52 1.95 24 X Y 200501020827A 3.18 123 39 108 281 53 76 5.582 24 200501020827A
94.31 5.41 34 0.62 -0.08 -0.53 0.68 -0.60 0.37 24 X Y 200501021212A 5.41 349 21 122 135 72 78 1.136 24 200501021212A
92.57 6.26 13 3.20 -0.12 -3.09 0.73 -2.45 1.23 25 X Y 200501021535A 6.26 338 26 86 162 64 92 4.227 25 200501021535A
94.15 5.22 72 2.35 0.16 -2.50 2.51 -2.98 0.39 23 X Y 200501021935A 5.22 11 21 133 146 75 75 4.598 23 200501021935A
96.76 4.52 12 -0.58 -2.43 3.01 -1.72 -1.51 -2.53 23 X Y 200501031745A 4.52 117 62 -166 21 78 -29 4.375 23 200501031745A
93.16 4.45 20 -1.68 -0.13 1.81 1.20 0.14 -2.26 23 X Y 200501040204A 4.45 182 54 -32 293 64 -139 3.057 23 200501040204A
93.02 7.08 34 -1.27 0.53 0.73 0.58 0.53 -0.91 23 X Y 200501040418A 7.08 292 52 -128 164 52 -52 1.628 23 200501040418A
94.69 3.99 28 -3.05 2.86 0.19 -0.02 -0.38 0.33 23 X Y 200501040958A 3.99 270 45 -80 76 46 -99 2.999 23 200501040958A
93.64 8.83 12 -1.53 0.41 1.12 -1.46 -1.37 0.61 23 X Y 200501041215A 8.83 199 20 -112 43 72 -82 2.499 23 200501041215A
94.43 3.86 26 -0.47 0.73 -0.26 -0.27 -1.62 -2.89 23 X Y 200501041234A 3.86 88 61 -170 353 81 -29 3.385 23 200501041234A
93.10 6.46 12 1.52 -2.33 0.81 0.17 -0.77 1.26 23 X Y 200501041256A 6.46 256 52 38 140 61 135 2.454 23 200501041256A
93.79 4.40 15 -2.75 2.53 0.22 0.10 -2.52 -1.45 23 X Y 200501041518A 4.40 91 40 -137 326 64 -59 3.880 23 200501041518A
94.69 4.61 49 0.70 -0.32 -0.38 0.31 -0.36 0.36 24 X Y 200501041826A 4.61 316 28 88 138 62 91 0.855 24 200501041826A
94.29 5.17 34 4.92 -1.64 -3.28 1.43 -5.53 1.47 23 X Y 200501041908A 5.17 323 20 73 162 71 96 7.277 23 200501041908A
93.58 3.47 12 4.96 -1.19 -3.78 -1.01 -0.05 2.46 23 X Y 200501050532A 3.47 159 43 105 319 49 76 5.217 23 200501050532A
92.99 6.59 12 3.98 -1.99 -2.00 0.78 -2.19 1.79 23 X Y 200501051231A 6.59 305 32 71 147 60 101 4.517 23 200501051231A
94.63 5.20 53 0.76 -0.28 -0.47 0.32 -0.23 0.42 24 X Y 200501051434A 5.20 329 33 103 134 58 82 0.872 24 200501051434A
94.24 5.32 33 5.36 -1.66 -3.71 4.15 -5.00 3.52 24 X Y 200501051454A 5.32 326 21 95 141 69 88 8.748 24 200501051454A
93.09 5.53 12 -1.68 0.13 1.55 0.07 0.51 -0.76 24 X Y 200501060011A 5.53 327 39 -105 166 53 -78 1.856 24 200501060011A
91.80 6.87 17 -0.25 -0.69 0.93 -0.31 0.05 -1.37 24 X Y 200501060029A 6.87 15 78 -4 106 86 -168 1.625 24 200501060029A
94.60 5.02 54 2.96 -1.21 -1.75 1.59 -1.25 1.76 24 X Y 200501060056A 5.02 327 29 102 133 62 83 3.712 24 200501060056A
91.85 6.91 12 -0.30 -0.46 0.76 -0.01 -0.15 -0.81 24 X Y 200501060452A 6.91 108 81 -178 18 88 -9 1.022 24 200501060452A
93.24 5.46 20 -1.64 0.39 1.25 -0.65 0.38 -1.15 23 X Y 200501070759A 5.46 339 36 -69 134 56 -105 2.002 23 200501070759A
93.61 8.89 12 -0.79 0.07 0.72 0.34 -0.14 0.24 24 X Y 200501071049A 8.89 218 48 -61 358 50 -119 0.863 24 200501071049A
94.76 4.69 22 0.50 0.89 -1.39 0.46 -5.77 -0.56 23 X Y 200501080558A 4.69 55 9 150 175 86 83 5.903 23 200501080558A
92.69 3.48 12 -1.35 -1.34 2.69 -1.22 -3.65 -4.69 23 X Y 200501081459A 3.48 105 52 -168 8 81 -38 6.497 23 200501081459A
92.29 7.39 12 0.80 -0.24 -0.56 0.09 -0.58 0.39 24 X Y 200501090159A 7.39 313 30 66 160 63 103 1.001 24 200501090159A
94.14 3.20 12 -0.72 0.65 0.07 0.00 -0.21 -0.35 24 X Y 200501091716A 3.20 100 44 -112 310 50 -70 0.797 24 200501091716A
94.94 4.63 46 0.75 -0.42 -0.33 0.59 -0.56 0.47 25 X Y 200501092212A 4.63 311 22 88 133 68 91 1.137 25 200501092212A
93.91 9.56 12 0.48 -1.92 1.44 -0.91 -0.31 -1.50 23 X Y 200501100104A 9.56 23 77 -11 115 79 -167 2.395 23 200501100104A
95.43 2.42 37 1.45 -1.45 0.00 0.95 -0.25 1.14 23 X Y 200501100219A 2.42 313 32 111 108 60 77 2.028 23 200501100219A
93.85 8.16 13 -2.44 0.87 1.57 1.03 -0.25 0.91 23 X Y 200501110549A 8.16 19 43 -117 233 53 -67 2.512 23 200501110549A
94.63 4.74 48 2.70 -1.43 -1.27 1.31 -1.13 1.76 23 X Y 200501112146A 4.74 316 30 93 132 60 88 3.382 23 200501112146A
94.51 5.33 43 1.11 -0.45 -0.65 0.60 -0.54 0.69 24 X Y 200501121358A 5.33 324 28 99 135 62 85 1.430 24 200501121358A
94.41 5.16 47 3.94 -0.85 -3.09 1.76 -2.72 1.45 23 X Y 200501121844A 5.16 338 25 97 150 65 87 5.048 23 200501121844A
94.03 5.43 48 1.18 -0.17 -1.01 0.68 -0.09 0.44 23 X Y 200501130852A 5.43 356 40 124 135 57 65 1.362 23 200501130852A
93.29 8.53 25 -0.23 0.34 -0.11 1.54 5.21 -2.54 23 X Y 200501141622A 8.53 277 24 178 9 89 66 5.878 23 200501141622A
95.07 4.45 53 3.44 -2.12 -1.32 1.41 -1.67 2.15 23 X Y 200501141708A 4.45 303 30 79 135 60 96 4.277 23 200501141708A
93.81 3.01 12 2.72 -1.39 -1.33 -0.19 -0.39 1.51 24 X Y 200501142138A 3.01 306 44 77 143 47 102 2.831 24 200501142138A
95.98 2.68 35 1.29 -0.06 -1.23 0.40 0.04 2.24 23 X Y 200501151644A 2.68 4 67 159 102 71 25 2.424 23 200501151644A
95.92 3.58 46 3.93 -2.40 -1.54 0.60 -1.38 1.83 23 X Y 200501170253A 3.58 300 36 75 138 55 101 4.169 23 200501170253A
93.97 8.34 26 -0.83 -0.16 0.99 -0.18 0.08 2.19 23 X Y 200501182204A 8.34 173 82 -173 82 83 -8 2.282 23 200501182204A
92.55 3.68 12 -0.91 -0.85 1.75 -1.48 -1.68 -2.09 23 X Y 200501191609A 3.68 113 53 -160 11 74 -39 3.381 23 200501191609A
93.20 6.42 22 -5.30 -0.52 5.82 -0.35 3.13 -0.71 23 X Y 200501201926A 6.42 354 30 -90 174 60 -90 6.424 23 200501201926A
93.33 5.41 25 -2.54 0.73 1.80 -0.48 0.37 -1.09 23 X Y 200501210522A 5.41 333 39 -83 143 52 -96 2.583 23 200501210522A
97.42 1.37 31 1.85 -1.39 -0.46 0.81 -0.07 1.08 23 X Y 200501210836A 1.37 316 36 110 112 56 76 2.142 23 200501210836A
94.06 3.40 12 2.32 -0.86 -1.46 1.35 1.41 1.39 23 X Y 200501220918A 3.40 115 49 48 350 56 128 3.046 23 200501220918A
93.96 3.58 12 1.78 0.12 -1.90 0.62 1.21 1.68 23 X Y 200501220924A 3.58 120 46 39 0 63 129 2.828 23 200501220924A
94.15 3.25 15 1.04 -0.22 -0.83 0.05 0.45 0.62 23 X Y 200501221107A 3.25 133 38 66 343 56 108 1.216 23 200501221107A
94.74 4.94 40 1.18 -1.35 0.17 0.53 -1.34 -2.22 23 X Y 200501221258A 4.94 92 59 154 197 68 34 2.936 23 200501221258A
94.32 2.43 12 2.13 -1.96 -0.17 0.11 -0.47 2.44 23 X Y 200501230616A 2.43 283 46 57 145 53 119 2.986 23 200501230616A
94.31 2.66 17 1.62 -0.89 -0.73 -0.65 3.24 6.77 23 X Y 200501232036A 2.66 90 63 5 358 86 153 7.530 23 200501232036A
96.21 4.80 20 -0.07 -0.98 1.05 -0.29 0.01 0.22 24 X Y 200501240039A 4.80 142 78 -170 50 80 -12 1.081 24 200501240039A
92.40 7.22 15 -0.91 -1.45 2.36 -0.11 -0.25 -2.03 25 X Y 200501240416A 7.22 112 83 -176 21 86 -8 2.802 25 200501240416A
94.72 4.54 37 3.45 -1.34 -2.12 1.12 -1.88 1.82 23 X Y 200501241759A 4.54 316 29 82 145 61 94 4.146 23 200501241759A
94.60 5.15 59 3.25 -1.77 -1.47 1.48 -1.33 2.54 23 X Y 200501250954A 5.15 314 31 92 132 59 89 4.208 23 200501250954A
96.21 2.69 60 0.82 -1.68 0.86 0.80 -0.71 0.94 23 X Y 200501261650A 2.69 246 47 20 142 75 135 1.931 23 200501261650A
94.14 8.20 12 -0.64 -1.01 1.66 -0.83 0.38 1.86 24 X Y 200501261730A 8.20 165 71 -161 69 72 -20 2.523 24 200501261730A
94.47 2.47 12 6.65 -3.94 -2.71 2.11 -3.53 3.99 24 X Y 200501262200A 2.47 300 31 72 140 60 101 8.136 24 200501262200A
94.14 7.92 21 0.00 -1.15 1.15 -0.53 -0.22 1.09 24 X Y 200501262246A 7.92 157 70 -180 67 90 -20 1.685 24 200501262246A
94.23 7.94 15 -2.18 -2.04 4.22 -2.15 -2.80 2.25 23 X Y 200501262303A 7.94 158 37 -153 46 74 -56 5.287 23 200501262303A
94.36 5.07 52 3.68 -0.69 -2.99 0.90 -2.62 0.76 23 X Y 200501262343A 5.07 344 26 92 162 64 89 4.424 23 200501262343A
94.20 7.94 20 -0.14 -0.94 1.08 -0.55 -0.27 0.77 24 X Y 200501270358A 7.94 154 64 -176 62 87 -26 1.411 24 200501270358A
94.21 7.89 13 -0.71 -3.52 4.23 -2.15 -3.20 1.80 23 X Y 200501270402A 7.89 144 49 -179 53 89 -41 5.577 23 200501270402A
94.18 7.90 20 -0.20 -0.78 0.97 -0.44 -0.21 0.69 24 X Y 200501270522A 7.90 155 65 -174 62 85 -25 1.221 24 200501270522A
94.20 7.99 15 -0.01 -0.61 0.62 -0.57 -0.25 0.30 24 X Y 200501270548A 7.99 150 48 -177 58 88 -42 0.922 24 200501270548A
94.18 7.94 12 -1.50 -1.39 2.89 -1.68 -1.63 0.26 23 X Y 200501270614A 7.94 148 39 -153 36 74 -54 3.430 23 200501270614A
94.17 7.92 19 -0.55 -0.90 1.45 -0.44 0.12 2.08 24 X Y 200501270656A 7.92 166 78 -171 74 81 -12 2.450 24 200501270656A
94.19 7.95 14 -2.71 -2.54 5.25 -4.14 -2.30 2.64 23 X Y 200501270720A 7.95 159 41 -158 52 75 -51 7.059 23 200501270720A
94.21 7.99 22 -0.01 -0.74 0.75 -0.41 -0.29 0.56 24 X Y 200501270726A 7.99 153 62 178 244 88 28 1.059 24 200501270726A
94.22 7.98 23 -3.93 1.17 2.76 0.69 0.12 5.64 23 X Y 200501270728A 7.98 9 54 -139 252 58 -44 5.993 23 200501270728A
94.20 7.96 17 -3.03 -1.46 4.50 -0.97 -2.39 7.51 23 X Y 200501270735A 7.96 260 76 1 170 89 166 8.368 23 200501270735A
94.25 7.90 22 -0.89 -1.63 2.52 -0.48 -1.30 0.70 23 X Y 200501270741A 7.90 142 58 -175 50 86 -32 2.484 23 200501270741A
94.20 7.93 14 -2.24 -1.03 3.27 -2.71 -0.91 4.59 23 X Y 200501270807A 7.93 170 55 -164 71 77 -37 5.988 23 200501270807A
94.17 7.93 12 -0.56 -0.55 1.10 -0.21 -0.05 1.92 24 X Y 200501270819A 7.93 168 83 -178 78 88 -7 2.102 24 200501270819A
94.22 7.96 15 0.02 -0.84 0.81 -0.15 -0.16 0.10 24 X Y 200501270831A 7.96 138 75 178 229 88 15 0.863 24 200501270831A
94.21 7.89 16 -1.50 -2.12 3.62 -5.14 -3.51 4.11 23 X Y 200501270836A 7.89 162 36 -169 63 83 -55 7.934 23 200501270836A
94.22 7.83 15 -0.29 -1.14 1.43 -0.70 -0.88 0.56 24 X Y 200501270842A 7.83 145 51 -176 53 87 -39 1.770 24 200501270842A
94.26 8.11 16 -3.12 -2.45 5.58 0.03 -3.67 3.45 23 X Y 200501270911A 8.11 240 43 -27 350 72 -129 6.582 23 200501270911A
94.16 7.94 18 -2.04 -0.35 2.39 -2.50 -1.56 5.37 23 X Y 200501270925A 7.94 172 61 -174 79 85 -29 6.179 23 200501270925A
94.25 7.87 20 0.03 -1.03 1.00 -0.37 -0.34 0.35 24 X Y 200501270952A 7.87 144 65 177 235 87 25 1.184 24 200501270952A
94.22 7.98 25 -0.30 -0.19 0.48 -0.32 -0.15 0.82 24 X Y 200501270959A 7.98 169 66 -173 76 84 -25 0.952 24 200501270959A
94.16 7.92 20 -0.37 -0.37 0.75 -0.45 -0.19 0.61 24 X Y 200501271008A 7.92 163 54 -162 62 76 -37 0.997 24 200501271008A
94.26 7.99 12 -1.01 -2.78 3.79 -2.28 -2.60 0.52 23 X Y 200501271025A 7.99 141 42 -169 43 83 -49 4.840 23 200501271025A
94.11 7.91 14 -0.33 -0.04 0.37 -0.01 -0.01 1.00 24 X Y 200501271058A 7.91 174 90 180 264 90 0 1.021 24 200501271058A
94.15 8.02 12 -2.79 -1.27 4.06 5.63 -3.89 4.98 23 X Y 200501271144A 8.02 246 58 -29 353 65 -145 8.736 23 200501271144A
94.20 7.92 12 -0.47 -0.76 1.23 0.02 0.15 1.83 24 X Y 200501271147A 7.92 76 86 0 346 90 176 2.087 24 200501271147A
94.16 7.88 16 -2.38 -0.00 2.38 -1.94 -1.29 3.15 23 X Y 200501271156A 7.88 181 39 -143 60 67 -57 4.350 23 200501271156A
